time,ax,ay,az,at
2.234,-0.0108,-0.0859,0.2375,0.253
2.24,-0.0082,-0.0816,0.2895,0.301
2.245,0.0116,-0.1206,0.3628,0.382
2.251,0.0249,-0.1266,0.4146,0.434
2.254,0.0316,-0.1477,0.4476,0.472
2.26,0.0126,-0.1578,0.5,0.524
2.267,-0.0836,-0.214,0.5978,0.64
2.27,-0.049,-0.2882,0.736,0.792
2.275,0.0924,-0.4687,0.891,1.011
2.281,0.0551,-0.5607,1.208,1.333
2.285,0.0283,-0.6341,1.3842,1.523
2.29,0.0319,-0.63,1.5424,1.666
2.295,-0.0308,-0.6028,1.552,1.665
2.3,-0.0603,-0.5593,1.3544,1.467
2.306,-0.1092,-0.4602,1.01,1.115
2.31,-0.0561,-0.3715,0.6288,0.733
2.315,-0.1031,-0.2471,0.282,0.389
2.321,-0.2914,-0.1534,0.0191,0.33
2.326,-0.8585,-0.066,-0.0683,0.864
2.331,-0.6374,0.0013,-0.5032,0.812
2.336,-0.1966,0.0568,-1.0075,1.028
2.34,-0.0621,0.0964,-1.2366,1.242
2.345,0.0414,0.1473,-1.4809,1.489
2.353,-0.0095,0.2852,-1.9687,1.989
2.359,-0.083,0.373,-2.5754,2.604
2.361,-0.2204,0.4125,-3.0558,3.091
2.367,-0.2083,0.3905,-3.0666,3.098
2.374,0.0003,0.359,-2.5731,2.598
2.376,0.2609,0.3873,-1.7748,1.835
2.38,0.4138,0.3966,-0.9483,1.108
2.385,0.4361,0.424,-0.2216,0.647
2.39,0.4101,0.4281,0.3653,0.696
2.396,0.3006,0.3978,0.7094,0.867
2.401,0.2391,0.3057,0.6549,0.761
2.406,0.1627,0.2793,0.4218,0.531
2.411,0.0888,0.2546,0.3017,0.405
2.416,0.0563,0.2821,0.2755,0.398
2.421,-0.023,0.3341,0.2086,0.395
2.426,-0.1498,0.2725,-0.0095,0.311
2.431,-0.3966,0.2037,-0.3722,0.581
2.437,-0.5315,0.2647,-0.7244,0.937
2.441,-0.5094,0.3239,-0.9467,1.123
2.446,-0.4043,0.3214,-1.0461,1.167
2.452,-0.37,0.2493,-1.0562,1.147
